['note_on', 36, 60.36979166666665, 9]
['note_off', 38, 60.37187499999998, 9]
['note_off', 48, 60.52812499999998, 0]
['note_on', 50, 60.61979166666665, 0]
['note_off', 36, 60.67395833333332, 9]
['note_on', 52, 60.86979166666665, 0]
['note_on', 36, 60.86979166666665, 9]
['note_off', 50, 60.87187499999998, 0]
['note_off', 36, 61.00312499999998, 9]
['note_off', 52, 61.06979166666665, 0]
['note_on', 38, 61.11979166666665, 9]
['note_off', 38, 61.31979166666665, 9]
['note_on', 45, 61.36979166666665, 0]
['note_on', 36, 61.61979166666665, 9]
['note_off', 36, 61.790624999999984, 9]
['note_on', 48, 62.11979166666665, 0]
['note_on', 38, 62.11979166666665, 9]
['note_off', 45, 62.12812499999998, 0]
['note_off', 38, 62.36979166666665, 9]
['note_on', 36, 62.36979166666665, 9]
['note_off', 48, 62.59687499999998, 0]
['note_on', 45, 62.61979166666665, 0]
['note_off', 36, 62.728124999999984, 9]
['note_off', 45, 62.80520833333332, 0]
['note_on', 36, 62.86979166666665, 9]
['note_off', 36, 62.99062499999998, 9]
['note_on', 38, 63.11979166666665, 9]
['note_off', 38, 63.265624999999986, 9]
['note_on', 45, 63.61979166666665, 0]
['note_on', 36, 63.61979166666665, 9]
['note_off', 36, 63.72604166666665, 9]
['note_off', 45, 63.790624999999984, 0]
['note_on', 45, 63.86979166666665, 0]
['note_on', 36, 63.86979166666665, 9]
['note_off', 36, 63.95104166666665, 9]
['note_off', 45, 64.02812499999997, 0]
['note_on', 38, 64.11979166666664, 9]
['note_off', 38, 64.31770833333331, 9]
['note_on', 43, 64.36979166666664, 0]
['note_on', 36, 64.36979166666664, 9]
['note_off', 36, 64.48854166666665, 9]
['note_off', 43, 64.58229166666665, 0]
['note_on', 45, 64.61979166666664, 0]
['note_off', 45, 64.77812499999997, 0]
['note_on', 45, 64.86979166666664, 0]
['note_off', 45, 65.00312499999998, 0]
['note_on', 43, 65.36979166666664, 0]
['note_on', 36, 65.36979166666664, 9]
['note_off', 36, 65.4364583333333, 9]
['note_off', 43, 65.59687499999997, 0]
['note_on', 45, 65.61979166666663, 0]
['note_on', 36, 65.61979166666663, 9]
['note_off', 36, 65.73854166666663, 9]
['note_off', 45, 65.77812499999997, 0]
['note_on', 45, 65.86979166666664, 0]
['note_on', 36, 65.86979166666664, 9]
['note_off', 36, 65.96145833333331, 9]
['note_off', 45, 66.02604166666664, 0]
['note_on', 38, 66.11979166666664, 9]
['note_off', 38, 66.33229166666665, 9]
['note_on', 48, 66.36979166666664, 0]
['note_on', 36, 66.36979166666664, 9]
['note_off', 36, 66.64895833333331, 9]
['note_on', 36, 66.86979166666664, 9]
['note_off', 36, 66.9364583333333, 9]
['note_on', 50, 67.11979166666664, 0]
['note_on', 38, 67.11979166666664, 9]
['note_off', 48, 67.12812499999998, 0]
['note_off', 38, 67.29062499999998, 9]
['note_off', 50, 67.30729166666664, 0]
['note_on', 36, 67.36979166666664, 9]
['note_off', 36, 67.46145833333331, 9]
['note_on', 45, 67.61979166666664, 0]
['note_on', 36, 67.61979166666664, 9]
['note_off', 36, 67.72604166666665, 9]
['note_off', 45, 67.76562499999999, 0]
['note_on', 45, 67.86979166666666, 0]
['note_on', 36, 67.86979166666666, 9]
['note_off', 36, 67.95104166666665, 9]
['note_off', 45, 68.01562499999999, 0]
